2025-08-25 14:15:16,Belton,0 min
2025-08-25 14:15:16,Anderson,22 min
2025-08-25 14:15:16,Spartanburg - Southport Road,22 min
2025-08-25 14:15:16,Seneca,31 min
2025-08-25 14:15:16,Laurens,20 min
2025-08-25 14:15:16,Gaffney,15 min
2025-08-25 14:15:16,Union,45 min
2025-08-25 14:15:16,Abbeville,0 min
2025-08-25 14:15:16,Greenwood,2 min
2025-08-25 14:15:16,Saluda,0 min
2025-08-25 14:15:16,Rock Hill,34 min
2025-08-25 14:20:20,Greenville - Saluda Dam,77 min
2025-08-25 14:20:20,Greenville - Edgeworth,74 min
2025-08-25 14:20:20,Pickens,74 min
2025-08-25 14:20:20,Greer,51 min
2025-08-25 14:20:20,Fountain Inn,0 min
2025-08-25 14:20:20,Spartanburg - Fairforest Road,27 min
2025-08-25 14:20:20,Woodruff,75 min
2025-08-25 14:20:20,Belton,1 min
2025-08-25 14:20:20,Anderson,16 min
2025-08-25 14:20:20,Spartanburg - Southport Road,14 min
2025-08-25 14:20:20,Seneca,31 min
2025-08-25 14:20:20,Laurens,16 min
2025-08-25 14:20:20,Gaffney,10 min
2025-08-25 14:20:20,Union,50 min
2025-08-25 14:20:20,Abbeville,1 min
2025-08-25 14:20:20,Greenwood,6 min
2025-08-25 14:20:20,Saluda,0 min
2025-08-25 14:20:20,Rock Hill,33 min
2025-08-25 14:25:16,Greenville - Saluda Dam,80 min
2025-08-25 14:25:16,Greenville - Edgeworth,72 min
2025-08-25 14:25:16,Pickens,47 min
2025-08-25 14:25:16,Greer,50 min
2025-08-25 14:25:16,Fountain Inn,1 min
2025-08-25 14:25:16,Spartanburg - Fairforest Road,18 min
2025-08-25 14:25:16,Woodruff,80 min
2025-08-25 14:25:16,Belton,5 min
2025-08-25 14:25:16,Anderson,8 min
2025-08-25 14:25:16,Spartanburg - Southport Road,16 min
2025-08-25 14:25:16,Seneca,31 min
2025-08-25 14:25:16,Laurens,11 min
2025-08-25 14:25:16,Gaffney,12 min
2025-08-25 14:25:16,Union,54 min
2025-08-25 14:25:16,Abbeville,0 min
